t,cell_V0,cell_V1,cell_V2,cell_V3,cell_V4,m0,m1,m2,m3,m4,h0,h1,h2,h3,h4,j0,j1,j2,j3,j4,d0,d1,d2,d3,d4,f0,f1,f2,f3,f4,r0,r1,r2,r3,r4,t0,t1,t2,t3,t4,Xs0,Xs1,Xs2,Xs3,Xs4,Xr0,Xr1,Xr2,Xr3,Xr4,APtrack0,APtrack1,APtrack2,APtrack3,APtrack4,APtrack20,APtrack21,APtrack22,APtrack23,APtrack24,APtrack30,APtrack31,APtrack32,APtrack33,APtrack34,Cainfluxtrack0,Cainfluxtrack1,Cainfluxtrack2,Cainfluxtrack3,Cainfluxtrack4,OVRLDtrack0,OVRLDtrack1,OVRLDtrack2,OVRLDtrack3,OVRLDtrack4,OVRLDtrack20,OVRLDtrack21,OVRLDtrack22,OVRLDtrack23,OVRLDtrack24,OVRLDtrack30,OVRLDtrack31,OVRLDtrack32,OVRLDtrack33,OVRLDtrack34,Nai0,Nai1,Nai2,Nai3,Nai4,Cai0,Cai1,Cai2,Cai3,Cai4,Ki0,Ki1,Ki2,Ki3,Ki4,Ca_JSR0,Ca_JSR1,Ca_JSR2,Ca_JSR3,Ca_JSR4,Ca_NSR0,Ca_NSR1,Ca_NSR2,Ca_NSR3,Ca_NSR4
50,18.0981,17.9958,17.8931,17.7896,17.6856,0.999261,0.999253,0.999244,0.999236,0.999228,9.66896e-44,9.66896e-44,9.80909e-44,9.80909e-44,9.80909e-44,8.35685e-07,8.36182e-07,8.36669e-07,8.37157e-07,8.37656e-07,0.893032,0.894064,0.895094,0.89613,0.897174,0.406074,0.405778,0.405483,0.405184,0.404887,0.417446,0.413825,0.410195,0.406547,0.402894,0.0349086,0.0348727,0.0348366,0.0348005,0.0347642,0.106227,0.106174,0.1061,0.106017,0.10596,0.188507,0.188423,0.188333,0.188244,0.18816,6.48202e-11,6.48202e-11,6.48202e-11,6.48202e-11,6.48202e-11,3.58328e-10,3.58328e-10,3.58328e-10,3.58328e-10,3.58328e-10,0.644116,0.644116,0.644116,0.644116,0.644116,4.70824e-12,4.70825e-12,4.70827e-12,4.7083e-12,4.70832e-12,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000674647,0.000674651,0.000674656,0.00067466,0.000674666,140,140,140,140,140,0.912856,0.912853,0.91285,0.912848,0.912844,2.52156,2.52156,2.52156,2.52156,2.52156
55,18.7657,18.6441,18.5217,18.3985,18.2744,0.999311,0.999302,0.999293,0.999284,0.999274,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.80909e-44,1.88268e-07,1.884e-07,1.8853e-07,1.88661e-07,1.88795e-07,0.884732,0.885974,0.887218,0.888473,0.889736,0.379159,0.37885,0.378542,0.37823,0.377918,0.455362,0.450882,0.446384,0.441858,0.437314,0.0277071,0.0276602,0.0276131,0.0275657,0.0275181,0.116768,0.116699,0.116608,0.116507,0.116435,0.20765,0.207551,0.207447,0.207343,0.207244,5.32076e-12,5.32076e-12,5.32076e-12,5.32076e-12,5.32076e-12,2.94133e-11,2.94133e-11,2.94133e-11,2.94133e-11,2.94133e-11,0.612702,0.612702,0.612702,0.612702,0.612702,3.86475e-13,3.86477e-13,3.86479e-13,3.86481e-13,3.86483e-13,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000666789,0.000666793,0.000666798,0.000666802,0.000666808,140,140,140,140,140,0.924777,0.924774,0.924771,0.924769,0.924765,2.52394,2.52394,2.52394,2.52394,2.52394
60,19.2581,19.1159,18.9728,18.8284,18.6828,0.999346,0.999336,0.999326,0.999316,0.999305,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,4.23912e-08,4.24259e-08,4.24604e-08,4.24951e-08,4.25307e-08,0.87827,0.879739,0.881218,0.882704,0.884198,0.354432,0.354115,0.353796,0.353474,0.353153,0.487178,0.48178,0.476352,0.470881,0.465375,0.0229984,0.0229394,0.0228801,0.0228205,0.0227605,0.127241,0.127156,0.127048,0.126919,0.12683,0.226416,0.226303,0.226184,0.226065,0.225948,4.36756e-13,4.36756e-13,4.36756e-13,4.36756e-13,4.36756e-13,2.41438e-12,2.41438e-12,2.41438e-12,2.41438e-12,2.41438e-12,0.58282,0.58282,0.58282,0.58282,0.58282,3.17239e-14,3.1724e-14,3.17242e-14,3.17243e-14,3.17244e-14,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000658931,0.000658935,0.00065894,0.000658944,0.00065895,140,140,140,140,140,0.936819,0.936817,0.936813,0.936811,0.936808,2.52633,2.52633,2.52633,2.52633,2.52633
65,19.5671,19.4035,19.2385,19.0721,18.9041,0.999367,0.999356,0.999345,0.999333,0.999321,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.54157e-09,9.5507e-09,9.55976e-09,9.56892e-09,9.57829e-09,0.873812,0.87552,0.877237,0.878964,0.880702,0.331631,0.331308,0.330984,0.330657,0.330329,0.511789,0.505431,0.499022,0.492553,0.486026,0.0199262,0.0198543,0.019782,0.0197092,0.0196358,0.137625,0.137512,0.137377,0.137234,0.13712,0.244787,0.244658,0.244522,0.244384,0.24425,3.58511e-14,3.58511e-14,3.58511e-14,3.58511e-14,3.58511e-14,1.98185e-13,1.98185e-13,1.98185e-13,1.98185e-13,1.98185e-13,0.554398,0.554398,0.554398,0.554398,0.554398,2.60405e-15,2.60406e-15,2.60407e-15,2.60408e-15,2.60409e-15,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000651073,0.000651077,0.000651082,0.000651086,0.000651092,140,140,140,140,140,0.949038,0.949036,0.949032,0.94903,0.949026,2.52871,2.52871,2.52871,2.52871,2.52871
70,19.6953,19.5096,19.3224,19.1332,18.9418,0.999375,0.999363,0.99935,0.999337,0.999324,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,2.14726e-09,2.14962e-09,2.15199e-09,2.1544e-09,2.15685e-09,0.871397,0.873344,0.875302,0.877275,0.879265,0.310547,0.310223,0.309898,0.309568,0.309239,0.528539,0.521181,0.513748,0.506232,0.49863,0.0179134,0.017828,0.0177419,0.0176552,0.0175676,0.147877,0.147743,0.147582,0.147413,0.147273,0.262745,0.262597,0.262443,0.262287,0.262132,2.94283e-15,2.94283e-15,2.94283e-15,2.94283e-15,2.94283e-15,1.6268e-14,1.6268e-14,1.6268e-14,1.6268e-14,1.6268e-14,0.527352,0.527352,0.527352,0.527352,0.527352,2.13754e-16,2.13754e-16,2.13755e-16,2.13756e-16,2.13757e-16,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000643215,0.000643219,0.000643224,0.000643228,0.000643234,140,140,140,140,140,0.961257,0.961255,0.961251,0.961249,0.961245,2.5311,2.5311,2.5311,2.5311,2.5311
75,19.6548,19.4467,19.2365,19.0238,18.8084,0.999376,0.999362,0.999347,0.999332,0.999317,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,4.83206e-10,4.8382e-10,4.84436e-10,4.85064e-10,4.85707e-10,0.870922,0.873114,0.875323,0.877549,0.879798,0.291017,0.290697,0.290375,0.290049,0.289724,0.537277,0.528877,0.520371,0.511755,0.503023,0.0165733,0.0164738,0.0163735,0.0162722,0.01617,0.157985,0.15782,0.157633,0.157434,0.157264,0.280279,0.280111,0.279936,0.279759,0.279582,2.41563e-16,2.41563e-16,2.41563e-16,2.41563e-16,2.41563e-16,1.33536e-15,1.33536e-15,1.33536e-15,1.33536e-15,1.33536e-15,0.50164,0.50164,0.50164,0.50164,0.50164,1.75459e-17,1.7546e-17,1.75461e-17,1.75462e-17,1.75462e-17,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000635357,0.000635361,0.000635366,0.00063537,0.000635376,140,140,140,140,140,0.973476,0.973474,0.97347,0.973468,0.973464,2.53348,2.53348,2.53348,2.53348,2.53348
80,19.4643,19.2334,18.9995,18.7627,18.5223,0.999363,0.999347,0.999331,0.999314,0.999296,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,1.08748e-10,1.08908e-10,1.09068e-10,1.09231e-10,1.09399e-10,0.872225,0.874659,0.877113,0.879592,0.8821,0.272914,0.272602,0.27229,0.271973,0.271657,0.53828,0.528782,0.519151,0.50938,0.499459,0.0156496,0.0155357,0.0154207,0.0153044,0.0151869,0.167918,0.167725,0.167506,0.167273,0.167073,0.29738,0.29719,0.296993,0.296793,0.296592,1.98287e-17,1.98287e-17,1.98287e-17,1.98287e-17,1.98287e-17,1.09613e-16,1.09613e-16,1.09613e-16,1.09613e-16,1.09613e-16,0.477175,0.477175,0.477175,0.477175,0.477175,1.44026e-18,1.44027e-18,1.44028e-18,1.44028e-18,1.44028e-18,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000627618,0.00062763,0.000627641,0.000627653,0.000627665,140,140,140,140,140,0.985695,0.985693,0.985689,0.985687,0.985683,2.53586,2.53586,2.53586,2.53586,2.53586
85,19.1456,18.891,18.633,18.371,18.1047,0.999341,0.999323,0.999304,0.999285,0.999264,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,2.448e-11,2.45212e-11,2.45625e-11,2.46051e-11,2.46489e-11,0.875052,0.877729,0.880437,0.883179,0.885955,0.256135,0.25584,0.255544,0.255245,0.254947,0.532123,0.521473,0.510659,0.499676,0.488512,0.0149748,0.0148461,0.014716,0.0145844,0.014451,0.177667,0.177435,0.177184,0.176913,0.176676,0.314042,0.313828,0.313606,0.31338,0.313153,1.62764e-18,1.62764e-18,1.62764e-18,1.62764e-18,1.62764e-18,8.99756e-18,8.99756e-18,8.99756e-18,8.99756e-18,8.99756e-18,0.453903,0.453903,0.453903,0.453903,0.453903,1.18224e-19,1.18224e-19,1.18225e-19,1.18225e-19,1.18226e-19,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000620051,0.000620063,0.000620074,0.000620086,0.000620098,140,140,140,140,140,0.997914,0.997911,0.997908,0.997906,0.997902,2.53825,2.53825,2.53825,2.53825,2.53825
90,18.722,18.443,18.1597,17.8716,17.5781,0.999311,0.99929,0.999268,0.999246,0.999222,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,5.51244e-12,5.52307e-12,5.53378e-12,5.54489e-12,5.55628e-12,0.879142,0.882074,0.885042,0.888045,0.891087,0.240602,0.240331,0.240059,0.239787,0.239516,0.519591,0.507735,0.495688,0.483446,0.470996,0.0144417,0.0142978,0.0141522,0.0140047,0.0138549,0.187206,0.186937,0.186647,0.186335,0.186054,0.330264,0.330023,0.329773,0.329518,0.329261,1.33604e-19,1.33604e-19,1.33604e-19,1.33604e-19,1.33604e-19,7.38566e-19,7.38566e-19,7.38566e-19,7.38566e-19,7.38566e-19,0.431767,0.431767,0.431767,0.431767,0.431767,9.70439e-21,9.70441e-21,9.70447e-21,9.70449e-21,9.70453e-21,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000612484,0.000612496,0.000612507,0.000612519,0.000612531,140,140,140,140,140,1.01038,1.01038,1.01037,1.01037,1.01037,2.54063,2.54063,2.54063,2.54063,2.54063
95,18.2157,17.9112,17.6013,17.2856,16.9635,0.999273,0.999249,0.999224,0.999197,0.999169,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,9.66896e-44,1.24184e-12,1.24458e-12,1.24737e-12,1.25025e-12,1.25323e-12,0.884237,0.887427,0.890654,0.893922,0.897235,0.226251,0.226012,0.225777,0.225541,0.225308,0.501604,0.488505,0.475193,0.461667,0.447917,0.0139833,0.0138239,0.0136622,0.0134983,0.0133316,0.196529,0.196216,0.19588,0.195525,0.195195,0.346045,0.345773,0.345492,0.345205,0.344913,1.09669e-20,1.09669e-20,1.09669e-20,1.09669e-20,1.09669e-20,6.06252e-20,6.06252e-20,6.06252e-20,6.06252e-20,6.06252e-20,0.410709,0.410709,0.410709,0.410709,0.410709,7.96586e-22,7.96587e-22,7.96593e-22,7.96595e-22,7.96597e-22,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,10.0056,10.0056,10.0056,10.0056,10.0056,0.000605072,0.000605088,0.000605104,0.00060512,0.000605137,140,140,140,140,140,1.0229,1.02289,1.02289,1.02289,1.02289,2.54302,2.54302,2.54302,2.54302,2.54302
